# b674c7e8-c3c7-400f-8a4d-11121b3bded1
# 46c72232a33fb8e48309d58d08bcd2a97a2c7dba
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 319.5640041; -711.5497101; 1.3576658; 0.0042191; 50.4035251; 3.5678776
1.9993147; 317.6070479; -711.1350230; 1.3663910; 0.0045024; 50.5448510; 3.5288883
3.9986294; 315.6478450; -710.7382209; 1.3755679; 0.0045745; 50.6842449; 3.4903924
5.9979442; 313.6854707; -710.3593824; 1.3845666; 0.0044305; 50.8217420; 3.4523819
7.9972589; 311.7184569; -709.9976807; 1.3932678; 0.0042694; 50.9573769; 3.4148487
9.9965736; 309.7492710; -709.6529307; 1.4016380; 0.0041042; 51.0911829; 3.3762486
11.9958883; 307.7776463; -709.3244006; 1.4096747; 0.0039368; 51.2231329; 3.3374402
13.9952031; 305.8025580; -709.0112530; 1.4173839; 0.0037732; 51.3532329; 3.2991414
15.9945178; 303.8257374; -708.7131010; 1.4247628; 0.0036095; 51.4815168; 3.2613437
17.9938325; 301.8470174; -708.4292493; 1.4318152; 0.0034462; 51.6080176; 3.2240388
19.9931472; 299.8657678; -708.1589547; 1.4385453; 0.0032851; 51.7327673; 3.1872186
21.9924619; 297.8831720; -707.9017291; 1.4449516; 0.0031243; 51.8557973; 3.1508752
23.9917767; 295.8991247; -707.6569062; 1.4510376; 0.0029642; 51.9771383; 3.1150008
25.9910914; 293.9132703; -707.4238011; 1.4568063; 0.0028059; 52.0968198; 3.0777372
27.9904061; 291.9263839; -707.2018675; 1.4622575; 0.0026480; 52.2148003; 3.0405442
29.9897208; 289.9384087; -706.9904615; 1.4673944; 0.0024908; 52.3310938; 3.0038555
31.9890356; 287.9491865; -706.7889369; 1.4722190; 0.0023353; 52.4457308; 2.9676626
33.9883503; 285.9591822; -706.5967156; 1.4767328; 0.0021809; 52.5587411; 2.9319573
35.9876650; 283.9683715; -706.4131743; 1.4809400; 0.0020278; 52.6701535; 2.8967315
37.9869797; 281.9767431; -706.2376997; 1.4848446; 0.0018782; 52.7799965; 2.8619774
39.9862944; 279.9845394; -706.0697111; 1.4884507; 0.0017300; 52.8882975; 2.8276873
41.9856092; 277.9917280; -705.9086111; 1.4917627; 0.0015830; 52.9950836; 2.7938536
43.9849239; 275.9984786; -705.7538410; 1.4948075; 0.0014642; 53.1003811; 2.7583234
45.9842386; 274.0047359; -705.6049034; 1.4976192; 0.0013510; 53.2041351; 2.7231885
47.9835533; 272.0105084; -705.4613462; 1.5002128; 0.0012434; 53.3063693; 2.6885469
49.9828680; 270.0160861; -705.3227656; 1.5026030; 0.0011481; 53.4071111; 2.6543905
51.9821828; 268.0212655; -705.1887582; 1.5048056; 0.0010573; 53.5063869; 2.6207109
53.9814975; 266.0260871; -705.0589639; 1.5068335; 0.0009713; 53.6042227; 2.5875004
55.9808122; 264.0308287; -704.9330575; 1.5086935; 0.0008895; 53.7006438; 2.5547512
57.9801269; 262.0352553; -704.8106941; 1.5103909; 0.0008090; 53.7956750; 2.5224557
59.9794417; 260.0394120; -704.6915543; 1.5119288; 0.0007295; 53.8893404; 2.4906064
61.9787564; 258.0435606; -704.5753355; 1.5133086; 0.0006509; 53.9816638; 2.4591962
63.9780711; 256.0474680; -704.4617088; 1.5145315; 0.0005726; 54.0726681; 2.4265002
65.9773858; 254.0511821; -704.3503637; 1.5155983; 0.0004946; 54.1623127; 2.3938494
67.9767005; 252.0549311; -704.2410009; 1.5165098; 0.0004173; 54.2506058; 2.3616750
69.9760153; 250.0585088; -704.1332994; 1.5172674; 0.0003411; 54.3375717; 2.3299689
71.9753300; 248.0619633; -704.0269569; 1.5178743; 0.0002660; 54.4232338; 2.2987231
73.9746447; 246.0654759; -703.9216862; 1.5183370; 0.0001970; 54.5076152; 2.2679299
75.9739594; 244.0688833; -703.8171995; 1.5186649; 0.0001339; 54.5907385; 2.2375819
77.9732742; 242.0722279; -703.7132465; 1.5188756; 0.0000769; 54.6726256; 2.2076714
79.9725889; 240.0756393; -703.6096202; 1.5189960; 0.0000442; 54.7532981; 2.1781914
81.9719036; 238.0789790; -703.5061685; 1.5190572; 0.0000225; 54.8327770; 2.1491347
83.9712183; 236.0823198; -703.4028092; 1.5190923; 0.0000126; 54.9110829; 2.1204944
85.9705330; 234.0856634; -703.2995013; 1.5191087; 0.0000038; 54.9882360; 2.0922635
87.9698478; 232.0890167; -703.1962098; 1.5191095; -0.0000007; 55.0642559; 2.0627714
89.9691625; 230.0923846; -703.0929169; 1.5191083; -0.0000004; 55.1391017; 2.0334234
91.9684772; 228.0957306; -702.9896213; 1.5191080; 0.0000001; 55.2127834; 2.0045209
93.9677919; 226.0990867; -702.8863264; 1.5191085; 0.0000003; 55.2853216; 1.9760561
95.9671067; 224.1024510; -702.7830332; 1.5191091; 0.0000003; 55.3567367; 1.9480217
97.9664214; 222.1057983; -702.6797404; 1.5191097; 0.0000002; 55.4270486; 1.9204103
99.9657361; 220.1091548; -702.5764489; 1.5191100; 0.0000002; 55.4962767; 1.8932147
101.9650508; 218.1125170; -702.4731585; 1.5191103; 0.0000001; 55.5644400; 1.8664280
103.9643655; 216.1158659; -702.3698678; 1.5191105; 0.0000001; 55.6315571; 1.8400432
105.9636803; 214.1192224; -702.2665778; 1.5191107; 0.0000001; 55.6976462; 1.8140536
107.9629950; 212.1225827; -702.1632885; 1.5191109; 0.0000002; 55.7627252; 1.7884526
109.9623097; 210.1259335; -702.0599990; 1.5191109; -0.0000002; 55.8268115; 1.7632338
111.9616244; 208.1292899; -701.9567092; 1.5191106; 0.0000002; 55.8899222; 1.7383908
113.9609392; 206.1326483; -701.8534205; 1.5191121; 0.0000013; 55.9520740; 1.7139173
115.9602539; 204.1360008; -701.7501334; 1.5191107; -0.0000029; 56.0132833; 1.6894333
117.9595686; 202.1393569; -701.6468333; 1.5190949; -0.0000195; 56.0735528; 1.6639890
119.9588833; 200.1427190; -701.5434525; 1.5190250; -0.0000504; 56.1328513; 1.6389474
121.9581980; 198.1460869; -701.4398479; 1.5188583; -0.0001178; 56.1911963; 1.6143015
123.9575128; 196.1494811; -701.3357708; 1.5185463; -0.0002034; 56.2486047; 1.5900446
125.9568275; 194.1529248; -701.2308786; 1.5180346; -0.0003086; 56.3050933; 1.5661698
127.9561422; 192.1564203; -701.1247363; 1.5172852; -0.0004421; 56.3606783; 1.5426706
129.9554569; 190.1600175; -701.0168285; 1.5162623; -0.0005862; 56.4153758; 1.5195405
131.9547717; 188.1637559; -700.9065794; 1.5149351; -0.0007415; 56.4692014; 1.4967732
133.9540864; 186.1676346; -700.7933611; 1.5132842; -0.0009105; 56.5221705; 1.4743625
135.9534011; 184.1717382; -700.6765095; 1.5112919; -0.0010852; 56.5742979; 1.4523024
137.9527158; 182.1761141; -700.5553275; 1.5089419; -0.0012657; 56.6255985; 1.4305868
139.9520305; 180.1807756; -700.4290888; 1.5062224; -0.0014550; 56.6760866; 1.4092099
141.9513453; 178.1858323; -700.2970470; 1.5031223; -0.0016479; 56.7257763; 1.3881660
143.9506600; 176.1913386; -700.1584327; 1.4996310; -0.0018447; 56.7746815; 1.3674496
145.9499747; 174.1973623; -700.0124603; 1.4957419; -0.0020458; 56.8228157; 1.3470550
147.9492894; 172.2040120; -699.8583342; 1.4914504; -0.0022474; 56.8701921; 1.3269768
149.9486041; 170.2113502; -699.6952512; 1.4867554; -0.0024492; 56.9168239; 1.3072099
151.9479189; 168.2195582; -699.5224195; 1.4816612; -0.0026467; 56.9627237; 1.2877489
153.9472336; 166.2286976; -699.3390505; 1.4761747; -0.0028392; 57.0079040; 1.2683484
155.9465483; 164.2388316; -699.1443769; 1.4703114; -0.0030258; 57.0523687; 1.2481351
157.9458630; 162.2503165; -698.9376922; 1.4640892; -0.0031982; 57.0960910; 1.2282553
159.9451778; 160.2631521; -698.7182993; 1.4575346; -0.0033455; 57.1390842; 1.2087034
161.9444925; 158.2772898; -698.4856017; 1.4507291; -0.0034612; 57.1813615; 1.1894733
163.9438072; 156.2931867; -698.2392939; 1.4438714; -0.0033923; 57.2229357; 1.1705596
165.9431219; 154.3103088; -697.9794419; 1.4370784; -0.0034972; 57.2638193; 1.1519565
167.9424366; 152.3302369; -697.7058155; 1.4297647; -0.0038233; 57.3040247; 1.1336588
169.9417514; 150.3509524; -697.4169917; 1.4219908; -0.0039399; 57.3435640; 1.1156611
171.9410661; 148.3748715; -697.1127175; 1.4140152; -0.0040268; 57.3824489; 1.0979582
173.9403808; 146.4023146; -696.7927149; 1.4059029; -0.0040933; 57.4206911; 1.0805448
175.9396955; 144.4301975; -696.4562121; 1.3976704; -0.0041365; 57.4583020; 1.0634161
177.9390103; 142.4621224; -696.1036186; 1.3893585; -0.0041728; 57.4952926; 1.0465670
179.9383250; 140.4986562; -695.7349255; 1.3809941; -0.0042017; 57.5316740; 1.0299928
181.9376397; 138.5352631; -695.3491607; 1.3725826; -0.0042058; 57.5674567; 1.0136887
183.9369544; 136.5766302; -694.9471944; 1.3641824; -0.0041849; 57.6026513; 0.9976500
185.9362691; 134.6229592; -694.5291901; 1.3558631; -0.0041491; 57.6372680; 0.9818722
187.9355839; 132.6698900; -694.0942807; 1.3474967; -0.0042168; 57.6713171; 0.9663508
189.9348986; 130.7212358; -693.6430741; 1.3390102; -0.0042506; 57.7048082; 0.9510815
191.9342133; 128.7789655; -693.1759248; 1.3305126; -0.0042544; 57.7377512; 0.9360598
193.9335280; 126.8384448; -692.6917141; 1.3220204; -0.0042376; 57.7701555; 0.9212816
195.9328428; 124.9018180; -692.1910076; 1.3135744; -0.0042012; 57.8020305; 0.9067428
197.9321575; 122.9717641; -691.6746711; 1.3052253; -0.0041668; 57.8333853; 0.8924392
199.9314722; 121.0456800; -691.1421690; 1.2969104; -0.0041502; 57.8642290; 0.8783669
201.9307869; 119.1225095; -690.5932614; 1.2886416; -0.0041173; 57.8945702; 0.8645219
203.9301016; 117.2069742; -690.0293577; 1.2801854; -0.0046366; 57.9244177; 0.8509004
205.9294164; 115.2944673; -689.4469821; 1.2699134; -0.0054944; 57.9537798; 0.8374986
207.9287311; 113.3917422; -688.8455187; 1.2595511; -0.0048768; 57.9826650; 0.8243129
209.9280458; 111.4943198; -688.2252836; 1.2502862; -0.0045086; 58.0110814; 0.8109773
211.9273605; 109.5951744; -687.5854434; 1.2414272; -0.0043696; 58.0390245; 0.7973051
213.9266753; 107.7067574; -686.9307019; 1.2326651; -0.0044014; 58.0664834; -1.4329118
215.9259900; 105.8248545; -686.2596439; 1.2238832; -0.0043722; 58.0171251; -5.2245599
217.9253047; 103.9441890; -685.5704155; 1.2151578; -0.0043299; 57.8368025; -5.2633900
219.9246194; 102.0731764; -684.8662941; 1.2065843; -0.0042550; 57.6545695; -5.3211018
221.9239341; 100.2071809; -684.1458938; 1.1981780; -0.0041283; 57.4697509; -5.4093822
223.9232489; 98.3467632; -683.4099244; 1.1900653; -0.0039139; 57.2812548; -5.5489019
225.9225636; 96.4927621; -682.6598742; 1.1828825; -0.0032734; 57.0872503; -5.8403740
227.9218783; 94.6434711; -681.8973579; 1.1764341; -0.0034849; 56.8823405; -5.4760634
229.9211930; 92.8019681; -681.1229488; 1.1687681; -0.0041423; 56.6895397; -5.3891192
231.9205078; 90.9646101; -680.3325969; 1.1603050; -0.0043190; 56.4991577; -5.3391147
233.9198225; 89.1351051; -679.5268462; 1.1515340; -0.0044312; 56.3099075; -5.3181850
235.9191372; 87.3134287; -678.7052122; 1.1426145; -0.0044937; 56.1207647; -5.3026306
237.9184519; 85.4980820; -677.8667323; 1.1335753; -0.0045456; 55.9315383; -5.2959269
239.9177666; 83.6910292; -677.0120778; 1.1244491; -0.0045804; 55.7419099; -5.2957292
241.9170814; 81.8916917; -676.1408276; 1.1152713; -0.0046047; 55.5516414; -5.2371627
243.9163961; 80.1006277; -675.2530723; 1.1059456; -0.0047240; 55.3628340; -5.2056531
245.9157108; 78.3177607; -674.3483182; 1.0964090; -0.0047987; 55.1745223; -5.1935599
247.9150255; 76.5433347; -673.4263336; 1.0867645; -0.0048416; 54.9860054; -5.1932021
249.9143402; 74.7780414; -672.4874650; 1.0772974; -0.0046300; 54.7968530; -5.3385411
251.9136550; 73.0214813; -671.5322532; 1.0681943; -0.0045217; 54.6017239; -5.4210016
253.9129697; 71.2740491; -670.5614197; 1.0591749; -0.0045016; 54.4028646; -5.4488828
255.9122844; 69.5348496; -669.5745966; 1.0502262; -0.0044493; 54.2022473; -5.4978910
257.9115991; 67.8047247; -668.5724691; 1.0413777; -0.0044042; 53.9990702; -5.5431305
259.9109139; 66.0839376; -667.5554107; 1.0326141; -0.0043645; 53.7934444; -5.5833256
261.9102286; 64.3712916; -666.5228935; 1.0239251; -0.0043255; 53.5855299; -5.6238308
263.9095433; 62.6680491; -665.4758523; 1.0153125; -0.0042928; 53.3752882; -5.6608931
265.9088580; 60.9743072; -664.4145155; 1.0067586; -0.0042664; 53.1628214; -5.6946214
267.9081727; 59.2887936; -663.3381857; 0.9982289; -0.0042644; 52.9482285; -5.7125876
269.9074875; 57.6130079; -662.2478371; 0.9896943; -0.0042842; 52.7320811; -5.7028227
271.9068022; 55.9470366; -661.1434468; 0.9810884; -0.0043269; 52.5154159; -5.6553994
273.9061169; 54.2898628; -660.0240909; 0.9723394; -0.0044238; 52.2996659; -5.5902855
275.9054316; 52.6431252; -658.8904395; 0.9633851; -0.0045476; 52.0855218; -5.5055807
277.9047464; 51.0070488; -657.7420606; 0.9541432; -0.0046993; 51.8737583; -5.4149156
279.9040611; 49.3813094; -656.5779790; 0.9445865; -0.0048586; 51.6646355; -5.3098729
281.9033758; 47.7672197; -655.3983510; 0.9347058; -0.0050395; 51.4587441; -5.1875163
283.9026905; 46.1651205; -654.2025327; 0.9244214; -0.0052463; 51.2567985; -5.1872279
285.9020052; 44.5756741; -652.9902795; 0.9140738; -0.0051025; 51.0540653; -5.2931982
287.9013200; 42.9993019; -651.7623372; 0.9039415; -0.0051275; 50.8463573; -5.1953824
289.9006347; 41.4337323; -650.5167944; 0.8935106; -0.0052959; 50.6416591; -5.0208465
291.8999494; 39.8840348; -649.2567567; 0.8826482; -0.0055804; 50.4430484; -4.9310740
293.8992641; 38.3468177; -647.9781595; 0.8712742; -0.0057363; 50.2472248; -4.9122507
295.8985789; 36.8229935; -646.6808514; 0.8597474; -0.0057851; 50.0513869; -4.9043734
297.8978936; 35.3168516; -645.3682674; 0.8481603; -0.0058165; 49.8550956; -4.9007888
299.8972083; 33.8246337; -644.0369778; 0.8364962; -0.0058414; 49.6581727; -4.9004939
301.8965230; 32.3477223; -642.6880254; 0.8247942; -0.0058619; 49.4604777; -4.9004902
303.8958377; 30.8876584; -641.3227367; 0.8130603; -0.0058804; 49.2619895; -4.9017710
305.8951525; 29.4431377; -639.9397950; 0.8012926; -0.0058584; 49.0626462; -4.9299933
307.8944672; 28.0152480; -638.5403689; 0.7896658; -0.0057747; 48.8613347; -4.9577683
309.8937819; 26.6030050; -637.1238166; 0.7780521; -0.0058580; 48.6580492; -4.8821671
311.8930966; 25.2076396; -635.6909858; 0.7662062; -0.0059941; 48.4570302; -4.7772736
313.8924114; 23.8305499; -634.2425707; 0.7540538; -0.0061753; 48.2595196; -4.7296453
315.8917261; 22.4689651; -632.7746387; 0.7415813; -0.0062697; 48.0631785; -4.7295492
317.8910408; 21.1281318; -631.2921973; 0.7289536; -0.0063566; 47.8660361; -4.7590421
319.8903555; 19.8069529; -629.7936587; 0.7161830; -0.0064335; 47.6668414; -4.8306240
321.8896702; 18.5018406; -628.2744001; 0.7032501; -0.0064731; 47.4637956; -4.9311268
323.8889850; 17.2194524; -626.7418739; 0.6902683; -0.0065379; 47.2556255; -5.0167741
325.8882997; 15.9586600; -625.1945226; 0.6771006; -0.0066585; 47.0428945; -4.7932765
327.8876144; 14.7148156; -623.6255052; 0.6633704; -0.0070664; 46.8387381; -4.7929783
329.8869291; 13.4963003; -622.0431508; 0.6490659; -0.0070735; 46.6337007; -4.8252803
331.8862439; 12.2999717; -620.4435052; 0.6353499; -0.0066854; 46.4263668; -5.1838443
333.8855586; 11.1241610; -618.8262599; 0.6219276; -0.0067383; 46.2025894; -5.1824810
335.8848733; 9.9705818; -617.1937937; 0.6083969; -0.0068046; 45.9777820; -5.1822819
337.8841880; 8.8392977; -615.5457805; 0.5947376; -0.0068596; 45.7518788; -5.1821779
339.8835027; 7.7304414; -613.8819980; 0.5809775; -0.0069009; 45.5248592; -5.1496278
341.8828175; 6.6452917; -612.2040153; 0.5670848; -0.0070116; 45.2981385; -5.1384062
343.8821322; 5.5833331; -610.5103287; 0.5529783; -0.0070824; 45.0707751; -5.1383292
345.8814469; 4.5446854; -608.8004981; 0.5387803; -0.0071271; 44.8422624; -4.7574629
347.8807616; 3.5325267; -607.0788707; 0.5240073; -0.0076506; 44.6296445; -4.7573392
349.8800763; 2.5468011; -605.3422626; 0.5085259; -0.0076845; 44.4160143; -4.7692034
351.8793911; 1.5854517; -603.5864058; 0.4934286; -0.0074267; 44.2008151; -5.0260533
353.8787058; 0.6522800; -601.8199947; 0.4786198; -0.0074021; 43.9728863; -5.0887739
355.8780205; -0.2547303; -600.0397967; 0.4637951; -0.0074606; 43.7409031; -5.0596013
357.8773352; -1.1370664; -598.2421845; 0.4487540; -0.0075506; 43.5090236; -5.0595907
359.8766500; -1.9905713; -596.4348297; 0.4336156; -0.0076049; 43.2759022; -5.0605212
361.8759647; -2.8166966; -594.6143062; 0.4183730; -0.0076285; 43.0414749; -5.0878927
363.8752794; -3.6158409; -592.7792939; 0.4030737; -0.0076483; 42.8044853; -5.1165419
365.8745941; -4.3859731; -590.9343789; 0.3878296; -0.0076123; 42.5648306; -5.1899023
367.8739088; -5.1284191; -589.0769027; 0.3727787; -0.0073399; 42.3203534; -5.4584965
369.8732236; -5.8430847; -587.2098681; 0.3584921; -0.0070347; 42.0616905; -5.5227308
371.8725383; -6.5313433; -585.3321964; 0.3440729; -0.0073860; 41.7983546; -5.4074488
373.8718530; -7.1917166; -583.4448943; 0.3290409; -0.0075888; 41.5388982; -5.3759072
375.8711677; -7.8230598; -581.5487971; 0.3137708; -0.0076895; 41.2793387; -5.3757197
377.8704825; -8.4257050; -579.6416793; 0.2983533; -0.0077277; 41.0181459; -5.3957118
379.8697972; -8.9986137; -577.7261230; 0.2828620; -0.0077687; 40.7542985; -5.4120063
381.8691119; -9.5414182; -575.8029278; 0.2672953; -0.0077992; 40.4879270; -5.4357385
383.8684266; -10.0547916; -573.8698392; 0.2519488; -0.0075455; 40.2186117; -5.6851213
385.8677413; -10.5387668; -571.9300553; 0.2372091; -0.0071224; 39.9349977; -6.0676579
387.8670561; -10.9949278; -569.9843183; 0.2235471; -0.0065392; 39.6300608; -6.5713083
389.8663708; -11.4260950; -568.0314499; 0.2113471; -0.0056594; 39.2971436; -7.3018897
391.8656855; -11.8350710; -566.0744963; 0.2011193; -0.0043958; 38.9238737; -8.3217929
393.8650002; -12.2267956; -564.1144873; 0.1939346; -0.0027774; 38.4940538; -9.5942129
395.8643150; -12.6080593; -562.1514453; 0.1904066; -0.0007489; 37.9924792; -11.0614826
397.8636297; -12.9862376; -560.1882103; 0.1907379; 0.0009041; 37.4058512; -10.1758753
399.8629444; -13.3678388; -558.2260727; 0.1938729; 0.0021933; 36.8579456; -9.9819815
401.8622591; -13.7576842; -556.2647912; 0.1987014; 0.0026363; 36.3124484; -9.9799093
403.8615738; -14.1577259; -554.3058558; 0.2041961; 0.0026849; 35.7587464; -10.1271047
405.8608886; -14.5681507; -552.3494941; 0.2092959; 0.0024014; 35.1879725; -10.6183861
407.8602033; -14.9879714; -550.3944339; 0.2135767; 0.0018796; 34.5793930; -11.1963918
409.8595180; -15.4149702; -548.4417142; 0.2168073; 0.0013501; 33.9258632; -11.7103374
411.8588327; -15.8472980; -546.4898680; 0.2189674; 0.0008009; 33.2285855; -12.1109046
413.8581475; -16.2826099; -544.5391035; 0.2199220; 0.0001552; 32.4917201; -12.2991410
415.8574622; -16.7186159; -542.5882374; 0.2196738; -0.0003498; 31.7258911; -11.9298024
417.8567769; -17.1535108; -540.6359740; 0.2185548; -0.0008083; 30.9649691; -11.4054296
419.8560916; -17.5847938; -538.6842572; 0.2161429; -0.0016034; 30.2195834; -10.8235326
421.8554063; -18.0098222; -536.7309018; 0.2120128; -0.0026121; 29.4948118; -10.2152141
423.8547211; -18.4248398; -534.7743740; 0.2056475; -0.0037840; 28.7940457; -9.5312219
425.8540358; -18.8246513; -532.8159849; 0.1966458; -0.0052203; 28.1244599; -9.5218684
427.8533505; -19.2040170; -530.8532711; 0.1846817; -0.0068142; 27.4392205; -10.1609241
429.8526652; -19.5567840; -528.8845422; 0.1693615; -0.0085226; 26.6885940; -10.1462231
431.8519800; -19.8756185; -526.9115432; 0.1504375; -0.0104100; 25.9173700; -9.2701461
433.8512947; -20.1533745; -524.9320345; 0.1277356; -0.0123209; 25.1921056; -8.3465291
435.8506094; -20.3824497; -522.9448617; 0.1011666; -0.0142334; 24.5207567; -7.5057354
437.8499241; -20.5547298; -520.9543092; 0.0708916; -0.0160630; 23.9009384; -6.7521432
439.8492388; -20.6630960; -518.9585124; 0.0370125; -0.0178172; 23.3292849; -6.0985438
441.8485536; -20.7003472; -516.9576833; -0.0003448; -0.0195047; 22.8006517; -5.6648465
443.8478683; -20.6598437; -514.9615412; -0.0406961; -0.0209003; 22.2983878; -5.2486709
445.8471830; -20.5359113; -512.9664561; -0.0838601; -0.0223426; 21.8227085; -4.8136789
447.8464977; -20.3227040; -510.9766131; -0.1301397; -0.0238966; 21.3771488; -4.7027972
449.8458124; -20.0173958; -509.0043972; -0.1763421; -0.0220844; 20.9326956; -6.0175614
451.8451272; -19.6229766; -507.0367712; -0.2189571; -0.0213256; 20.3498341; -5.8008979
453.8444419; -19.1448260; -505.0936409; -0.2647881; -0.0249043; 19.7716996; -4.8535399
455.8437566; -18.5620127; -503.1500245; -0.3187900; -0.0281396; 19.2746621; -2.9369040
457.8430713; -17.8779551; -501.2696574; -0.3810528; -0.0332867; 18.9675778; -1.9715444
459.8423861; -17.0854724; -499.4679178; -0.4485981; -0.0361242; 18.7586122; -0.9339254
461.8417008; -16.1463290; -497.6975616; -0.5280535; -0.0388480; 18.6588079; 16.9215065
463.8410155; -15.0868829; -496.0278147; -0.6014208; -0.0332428; 20.3915165; 2.9123867
465.8403302; -13.9117613; -494.4254644; -0.6644069; -0.0327279; 20.6750937; -0.8145272
467.8396449; -12.6263286; -492.8924171; -0.7308850; -0.0325611; 20.5961770; -1.1165931
469.8389597; -11.2473225; -491.4505502; -0.7956083; -0.0332282; 20.4875002; 1.2138035
471.8382744; -9.7654011; -490.0932187; -0.8628147; -0.0329118; 20.6056113; 8.2681785
473.8375891; -8.2110217; -488.8466562; -0.9262417; -0.0309243; 21.3928165; 14.4532572
475.8369038; -6.5781880; -487.6946014; -0.9853797; -0.0280265; 22.7034319; 9.3684249
477.8362186; -4.8666116; -486.6269439; -1.0403250; -0.0264521; 23.5139677; 9.0877264
479.8355333; -3.1164952; -485.6598894; -1.0909907; -0.0244815; 24.2743718; -1.9595738
481.8348480; -1.3153567; -484.7776650; -1.1397180; -0.0245474; 24.1124349; -1.5370615
483.8341627; 0.5165045; -483.9895725; -1.1896682; -0.0256038; 23.9846488; 8.9467476
485.8334774; 2.3979072; -483.2902995; -1.2397941; -0.0243672; 24.7191850; 9.6928714
487.8327922; 4.3026952; -482.6864342; -1.2874104; -0.0231710; 25.4911025; 16.1403673
489.8321069; 6.2288878; -482.1722565; -1.3318536; -0.0213258; 26.7270585; 2.8242795
491.8314216; 8.1825131; -481.7400365; -1.3742775; -0.0211763; 26.9375000; 9.2393587
493.8307363; 10.1478810; -481.3914778; -1.4159929; -0.0203384; 27.6147366; 12.2912451
495.8300511; 12.1285792; -481.1224968; -1.4551427; -0.0188196; 28.4907320; 10.7007852
497.8293658; 14.1173605; -480.9280500; -1.4908843; -0.0169127; 29.2320079; 10.5941321
499.8286805; 16.1118690; -480.8008653; -1.5226460; -0.0148066; 29.9478262; 10.5276413
501.8279952; 18.1112664; -480.7326839; -1.5500242; -0.0125671; 30.6425918; 10.5027474
503.8273099; 20.1086366; -480.7146718; -1.5727306; -0.0101664; 31.3203612; 10.4907817
505.8266247; 22.1081788; -480.7372761; -1.5906626; -0.0077376; 31.9830232; 10.4891375
507.8259394; 24.1081444; -480.7908527; -1.6036762; -0.0052825; 32.6321306; 10.4726753
509.8252541; 26.1050680; -480.8655036; -1.6118617; -0.0029207; 33.2675863; 10.4285999
511.8245688; 28.1033155; -480.9518971; -1.6153590; -0.0005535; 33.8885291; 1.5370837
513.8238836; 30.1010675; -481.0404773; -1.6140514; 0.0018596; 33.9790911; -9.5721293
515.8231983; 32.0992176; -481.1215433; -1.6077735; 0.0044393; 33.4111244; -7.9348993
517.8225130; 34.0979389; -481.1848703; -1.5963351; 0.0069038; 32.9328789; -6.4865760
519.8218277; 36.0965560; -481.2206503; -1.5803163; 0.0091317; 32.5367038; -5.4924787
521.8211424; 38.0968622; -481.2202359; -1.5603510; 0.0107350; 32.1974333; -4.7378234
523.8204572; 40.0951801; -481.1769308; -1.5374662; 0.0120030; 31.9018794; -4.3069604
525.8197719; 42.0919473; -481.0858380; -1.5126872; 0.0127899; 31.6308073; -4.1624156
527.8190866; 44.0866336; -480.9438534; -1.4866810; 0.0131425; 31.3666067; -4.1330648
529.8184013; 46.0757255; -480.7496398; -1.4601849; 0.0133200; 31.1020485; -4.1311401
531.8177161; 48.0594453; -480.5025415; -1.4335632; 0.0133052; 30.8353453; -4.0183420
533.8170308; 50.0354420; -480.2026168; -1.4065800; 0.0137859; 30.5736923; -3.8025753
535.8163455; 52.0029139; -479.8482894; -1.3784769; 0.0142842; 30.3240098; -3.6674679
537.8156602; 53.9598095; -479.4378905; -1.3495455; 0.0146546; 30.0812354; -3.5825327
539.8149749; 55.9031116; -478.9705568; -1.3199463; 0.0149499; 29.8421766; -3.5199992
541.8142897; 57.8325162; -478.4450995; -1.2897697; 0.0152137; 29.6054105; -3.4808094
543.8136044; 59.7447935; -477.8612860; -1.2591273; 0.0154422; 29.3694035; -3.4253007
545.8129191; 61.6379547; -477.2187702; -1.2279994; 0.0157034; 29.1352940; -3.3609719
547.8122338; 63.5103806; -476.5169823; -1.1963027; 0.0159873; 28.9037381; -3.3130499
549.8115485; 65.3590997; -475.7558474; -1.1640828; 0.0162507; 28.6736537; -3.3095021
551.8108633; 67.1829415; -474.9348018; -1.1315362; 0.0162270; 28.4419574; -3.4262678
553.8101780; 68.9789978; -474.0550449; -1.0990717; 0.0163916; 28.2000810; -3.0434599
555.8094927; 70.7448762; -473.1167712; -1.0654067; 0.0173319; 27.9834755; -3.0390054
557.8088074; 72.4803062; -472.1162379; -1.0301213; 0.0177146; 27.7655010; -3.0669883
559.8081222; 74.1745602; -471.0576909; -0.9945386; 0.0177461; 27.5437705; -3.2816994
561.8074369; 75.8309547; -469.9395022; -0.9596310; 0.0172126; 27.3045233; -3.9830096
563.8067516; 77.4557100; -468.7587193; -0.9249187; 0.0175806; 27.0113016; -3.7758828
565.8060663; 79.0333558; -467.5245402; -0.8886300; 0.0185583; 26.7303584; -3.0093852
567.8053810; 80.5506344; -466.2440645; -0.8505691; 0.0199709; 26.5043136; -2.1737235
569.8046958; 82.0342010; -464.8874058; -0.8090549; 0.0214000; 26.3398316; -1.7787128
571.8040105; 83.4495031; -463.4770979; -0.7649878; 0.0221499; 26.2044713; 15.6908310
573.8033252; 84.7935327; -462.0159032; -0.7230523; 0.0198742; 27.3754659; 4.4172589
575.8026399; 86.0848393; -460.4965518; -0.6867559; 0.0171799; 27.6961931; -3.4324336
