# v_mps,ax_max_mps2,ay1_max_mps2,ay2_max_mps2,axb_max_mps2
10,9.751,13.1687863,13.1687863,9.751
11,9.8196,13.4921352,13.4921352,9.8196
12,9.8882,13.81548411,13.81548411,9.8882
13,9.9666,14.13883302,14.13883302,9.9666
14,10.0548,14.46218193,14.46218193,10.0548
15,10.143,14.78553083,14.78553083,10.143
16,10.241,15.10887974,15.10887974,10.241
17,10.339,15.43222865,15.43222865,10.339
18,10.4468,15.75557756,15.75557756,10.4468
19,10.5644,16.07892646,16.07892646,10.5644
20,10.682,16.40227537,16.40227537,10.682
21,10.8094,18.06367422,18.06367422,10.8094
22,10.9368,18.41289104,18.41289104,10.9368
23,11.074,18.76210786,18.76210786,11.074
24,11.2112,19.11132468,19.11132468,11.2112
25,11.3582,19.4605415,19.4605415,11.3582
26,11.515,19.80975832,19.80975832,11.515
27,11.6718,20.15897514,20.15897514,11.6718
28,11.8384,20.50819196,20.50819196,11.8384
29,12.005,20.85740878,20.85740878,12.005
30,12.1814,22.4845984,22.4845984,12.1814
31,12.3578,22.81863188,22.81863188,12.3578
32,12.5342,23.15266536,23.15266536,12.5342
33,12.7302,23.48669884,23.48669884,12.7302
34,12.9164,23.82073232,23.82073232,12.9164
35,13.1124,24.1547658,24.1547658,13.1124
36,13.3182,24.48879928,24.48879928,13.3182
37,13.524,24.82283276,24.82283276,13.524
38,13.7298,25.15686624,25.15686624,13.7298
39,13.9454,25.49089972,25.49089972,13.9454
40,14.161,25.8249332,25.8249332,14.161
41,14.3864,26.15896668,26.15896668,14.3864
42,14.6118,26.49300016,26.49300016,14.6118
43,14.8372,26.82703364,26.82703364,14.8372
44,15.0724,27.16106712,27.16106712,15.0724
45,15.3076,27.4951006,27.4951006,15.3076
46,15.5428,27.82913408,27.82913408,15.5428
47,15.7878,28.16316756,28.16316756,15.7878
48,16.023,28.49720104,28.49720104,16.023
49,16.2778,28.83123452,28.83123452,16.2778
50,16.5228,29.165268,29.165268,16.5228
51,16.7776,29.49930148,29.49930148,16.7776
52,17.0226,29.83333496,29.83333496,17.0226
53,17.2774,30.16736844,30.16736844,17.2774
54,17.542,30.50140192,30.50140192,17.542
55,17.7968,30.8354354,30.8354354,17.7968
56,18.0614,31.16946888,31.16946888,17.7968
57,18.3162,31.50350236,31.50350236,17.7968
58,18.5808,31.83753584,31.83753584,17.7968
59,18.8454,32.17156932,32.17156932,17.7968
60,19.11,32.5056028,32.5056028,17.7968
61,19.3746,32.83963628,32.83963628,17.7968
62,19.6392,33.17366976,33.17366976,17.7968
63,19.9038,33.50770324,33.50770324,17.7968
64,20.1586,33.84173672,33.84173672,17.7968
65,20.4232,34.1757702,34.1757702,17.7968
72,25,34.1757702,34.1757702,17.7968
80,26,34.1757702,34.1757702,17.7968
90,27,34.1757702,34.1757702,17.7968
200,28,34.1757702,34.1757702,17.7968
